,id,keywords
20,696374,[]
21,12477,"[{'id': 380, 'name': 'sibling relationship'}, {'id': 1899, 'name': 'hunger'}, {'id': 1956, 'name': 'world war ii'}, {'id': 4917, 'name': 'shelter'}, {'id': 11159, 'name': 'wartime'}, {'id': 165431, 'name': 'anti war'}, {'id': 210024, 'name': 'anime'}, {'id': 236343, 'name': 'orphan siblings'}, {'id': 241982, 'name': 'children in wartime'}]"
22,772071,[]
23,667257,[]
24,539,"[{'id': 612, 'name': 'hotel'}, {'id': 1443, 'name': 'clerk'}, {'id': 1859, 'name': 'arizona'}, {'id': 1879, 'name': 'shower'}, {'id': 2669, 'name': 'motel'}, {'id': 9719, 'name': 'taxidermy'}, {'id': 10594, 'name': 'money'}, {'id': 11677, 'name': 'secretary'}, {'id': 12999, 'name': 'black and white'}, {'id': 13092, 'name': 'corpse'}, {'id': 13112, 'name': 'murderer'}, {'id': 14604, 'name': 'theft'}, {'id': 41329, 'name': 'mental illness'}, {'id': 155790, 'name': 'private detective'}, {'id': 156091, 'name': 'missing person'}, {'id': 233450, 'name': 'proto-slasher'}]"
25,550,"[{'id': 818, 'name': 'based on novel or book'}, {'id': 825, 'name': 'support group'}, {'id': 851, 'name': 'dual identity'}, {'id': 1541, 'name': 'nihilism'}, {'id': 1721, 'name': 'fight'}, {'id': 3927, 'name': 'rage and hate'}, {'id': 4142, 'name': 'insomnia'}, {'id': 4565, 'name': 'dystopia'}, {'id': 9181, 'name': 'alter ego'}, {'id': 11687, 'name': 'breaking the fourth wall'}, {'id': 34117, 'name': 'cult film'}, {'id': 156761, 'name': 'split personality'}, {'id': 179173, 'name': 'quitting a job'}, {'id': 212803, 'name': 'dissociative identity disorder'}, {'id': 260426, 'name': 'self destructiveness'}]"
26,620249,"[{'id': 977, 'name': 'cat'}, {'id': 1299, 'name': 'monster'}, {'id': 1370, 'name': 'shapeshifting'}, {'id': 2343, 'name': 'magic'}, {'id': 10085, 'name': 'betrayal'}, {'id': 10459, 'name': 'dilemma'}, {'id': 18165, 'name': 'animal'}, {'id': 33480, 'name': 'environmental'}, {'id': 189092, 'name': 'journey'}, {'id': 210024, 'name': 'anime'}, {'id': 243143, 'name': 'wandering'}]"
27,311,"[{'id': 242, 'name': 'new york city'}, {'id': 314, 'name': 'life and death'}, {'id': 417, 'name': 'corruption'}, {'id': 542, 'name': 'street gang'}, {'id': 570, 'name': 'rape'}, {'id': 625, 'name': 'sadistic'}, {'id': 725, 'name': 'lovesickness'}, {'id': 739, 'name': 'sexual abuse'}, {'id': 802, 'name': 'regret'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 947, 'name': 'prohibition era'}, {'id': 975, 'name': 'money laundering'}, {'id': 1632, 'name': 'opium'}, {'id': 3149, 'name': 'gangster'}, {'id': 6220, 'name': 'mafia boss'}, {'id': 9826, 'name': 'murder'}, {'id': 10937, 'name': 'memory'}, {'id': 11211, 'name': 'jewish american'}, {'id': 13006, 'name': 'torture'}, {'id': 158967, 'name': 'brooklyn bridge'}, {'id': 160246, 'name': 'childhood friends'}, {'id': 207876, 'name': '1920s'}, {'id': 208992, 'name': '1960s'}, {'id': 214548, 'name': '1930s'}]"
28,704264,[]
29,598,"[{'id': 542, 'name': 'street gang'}, {'id': 1003, 'name': 'photographer'}, {'id': 1809, 'name': 'rio de janeiro'}, {'id': 2394, 'name': 'ghetto'}, {'id': 2987, 'name': 'gang war'}, {'id': 3149, 'name': 'gangster'}, {'id': 10683, 'name': 'coming of age'}, {'id': 187056, 'name': 'woman director'}]"
30,724089,"[{'id': 818, 'name': 'based on novel or book'}]"
31,510,"[{'id': 428, 'name': 'nurse'}, {'id': 791, 'name': 'mentally disabled'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 1897, 'name': 'oregon, usa'}, {'id': 2574, 'name': 'lunatic asylum'}, {'id': 4924, 'name': 'insane asylum'}, {'id': 6054, 'name': 'friendship'}, {'id': 11612, 'name': 'hospital'}, {'id': 14784, 'name': 'medication'}, {'id': 166726, 'name': 'female villain'}, {'id': 190939, 'name': 'shock treatment'}]"
32,14537,"[{'id': 233, 'name': 'japan'}, {'id': 236, 'name': 'suicide'}, {'id': 1293, 'name': 'asia'}, {'id': 1462, 'name': 'samurai'}, {'id': 9748, 'name': 'revenge'}, {'id': 9856, 'name': 'flashback'}, {'id': 12987, 'name': 'poverty'}, {'id': 18100, 'name': 'seppuku'}, {'id': 155198, 'name': 'ronin'}, {'id': 186753, 'name': 'jidaigeki'}, {'id': 207941, 'name': '17th century'}, {'id': 214891, 'name': 'shogunate'}, {'id': 312122, 'name': 'bushi'}]"
33,157336,"[{'id': 310, 'name': 'artificial intelligence'}, {'id': 1432, 'name': 'nasa'}, {'id': 1521, 'name': 'time warp'}, {'id': 1612, 'name': 'spacecraft'}, {'id': 1963, 'name': 'expedition'}, {'id': 2964, 'name': 'future'}, {'id': 3417, 'name': 'wormhole'}, {'id': 3801, 'name': 'space travel'}, {'id': 4337, 'name': 'famine'}, {'id': 4380, 'name': 'black hole'}, {'id': 4565, 'name': 'dystopia'}, {'id': 4776, 'name': 'race against time'}, {'id': 8056, 'name': 'quantum mechanics'}, {'id': 9882, 'name': 'space'}, {'id': 10084, 'name': 'rescue'}, {'id': 10235, 'name': 'family relationships'}, {'id': 14544, 'name': 'robot'}, {'id': 14626, 'name': 'astronaut'}, {'id': 14760, 'name': 'scientist'}, {'id': 33479, 'name': 'single father'}, {'id': 154846, 'name': 'farmer'}, {'id': 156039, 'name': 'space station'}, {'id': 195114, 'name': 'space adventure'}, {'id': 208757, 'name': 'time paradox'}, {'id': 220800, 'name': 'time-manipulation'}, {'id': 240303, 'name': 'father daughter relationship'}, {'id': 270088, 'name': '2060s'}, {'id': 272987, 'name': 'cornfield'}, {'id': 290900, 'name': 'time manipulation'}]"
34,372754,"[{'id': 5955, 'name': ""boys' choir""}, {'id': 6270, 'name': 'high school'}, {'id': 9914, 'name': 'slice of life'}, {'id': 10683, 'name': 'coming of age'}, {'id': 13141, 'name': 'based on manga'}, {'id': 210024, 'name': 'anime'}, {'id': 258533, 'name': 'gay theme'}, {'id': 289844, 'name': ""boys' love (bl)""}, {'id': 321543, 'name': 'gay male lead'}]"
35,324857,"[{'id': 9715, 'name': 'superhero'}, {'id': 9717, 'name': 'based on comic'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 245157, 'name': 'alternate universe'}]"
36,761053,[]
37,40096,[]
38,120,"[{'id': 603, 'name': 'elves'}, {'id': 604, 'name': 'dwarf'}, {'id': 606, 'name': 'orcs'}, {'id': 697, 'name': 'loss of loved one'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 1261, 'name': 'river'}, {'id': 1262, 'name': 'mountain'}, {'id': 1960, 'name': 'mine'}, {'id': 2158, 'name': 'maze'}, {'id': 2343, 'name': 'magic'}, {'id': 2407, 'name': 'fireworks'}, {'id': 3098, 'name': 'castle'}, {'id': 3347, 'name': 'volcano'}, {'id': 5732, 'name': 'birthday party'}, {'id': 6464, 'name': 'uncle'}, {'id': 6782, 'name': 'addiction'}, {'id': 10718, 'name': 'fugitive'}, {'id': 14643, 'name': 'battle'}, {'id': 34079, 'name': 'death'}, {'id': 156783, 'name': 'blizzard'}, {'id': 177912, 'name': 'wizard'}, {'id': 189092, 'name': 'journey'}, {'id': 189093, 'name': 'ring'}, {'id': 209220, 'name': 'live action and animation'}, {'id': 234213, 'name': 'sword and sorcery'}]"
