,id,title,overview,poster_path,popularity,release_date,vote_average,original_language,vote_average,vote_count,release_date
28,598,City of God,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg,33.464,2002-08-30,8.4,pt,8.4,6643,2002-08-30
29,704264,Primal: Tales of Savagery,"Genndy Tartakovsky's Primal: Tales of Savagery features a caveman and a dinosaur on the brink of extinction. Bonded by tragedy, this unlikely friendship becomes the only hope of survival.",/9NBBkdxH0TjQEBSN2AzeE1sgsF9.jpg,22.447,2019-11-21,8.4,en,8.4,283,2019-11-21
30,724089,Gabriel's Inferno: Part II,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?",/x5o8cLZfEXMoZczTYWLrUo1P7UJ.jpg,28.062,2020-07-31,8.4,en,8.4,1482,2020-07-31
31,510,One Flew Over the Cuckoo's Nest,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",/3jcbDmRFiQ83drXNOvRDeKHxS0C.jpg,41.273,1975-11-19,8.4,en,8.4,9573,1975-11-19
32,14537,Harakiri,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",/5konZnIbcAxZjP616Cz5o9bKEfW.jpg,21.703,1962-09-15,8.4,ja,8.4,815,1962-09-15
33,157336,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,219.963,2014-11-05,8.4,en,8.4,32294,2014-11-05
34,372754,Dou kyu sei – Classmates,"Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.",/cIfRCA5wEvj9tApca4UDUagQEiM.jpg,14.277,2016-02-20,8.4,ja,8.4,320,2016-02-20
35,324857,Spider-Man: Into the Spider-Verse,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,145.31,2018-12-06,8.4,en,8.4,13847,2018-12-06
36,761053,Gabriel's Inferno: Part III,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,/fYtHxTxlhzD4QWfEbrC1rypysSD.jpg,37.735,2020-11-19,8.4,en,8.4,1024,2020-11-19
37,378064,A Silent Voice: The Movie,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",/tuFaWiqX0TXoWu7DGNcmX3UW7sT.jpg,58.031,2016-09-17,8.4,ja,8.4,3524,2016-09-17
38,120,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,110.384,2001-12-18,8.4,en,8.4,23158,2001-12-18
39,4935,Howl's Moving Castle,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",/yeJ5Nj1k2NA0bBZjkZ10PvQKjTD.jpg,115.909,2004-09-09,8.4,ja,8.4,8601,2004-09-09
40,40096,A Dog's Will,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",/imcOp1kJsCsAFCoOtY5OnPrFbAf.jpg,9.286,2000-09-15,8.4,pt,8.4,1005,2000-09-15
41,1891,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",/2l05cFWJacyIsTpsqSgH0wQXe4V.jpg,37.209,1980-05-20,8.4,en,8.4,15670,1980-05-20
42,255709,Hope,"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.",/x9yjkm9gIz5qI5fJMUTfBnWiB2o.jpg,19.172,2013-10-02,8.4,ko,8.4,559,2013-10-02
43,121,The Lord of the Rings: The Two Towers,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,90.605,2002-12-18,8.4,en,8.4,20124,2002-12-18
44,423,The Pianist,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg,39.213,2002-09-17,8.4,en,8.4,8279,2002-09-17
45,244786,Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",/7fn624j5lj3xTme2SgiLCeuedmO.jpg,70.819,2014-10-10,8.4,en,8.4,13785,2014-10-10
46,995133,"The Boy, the Mole, the Fox and the Horse","The unlikely friendship of a boy, a mole, a fox and a horse traveling together in the boy’s search for home.",/oQRgyQCzcyZvE6w5heM9ktVY0LT.jpg,22.823,2022-12-25,8.4,en,8.4,380,2022-12-25
47,807,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",/6yoghtyTpznpBik8EngEmJskVUO.jpg,70.944,1995-09-22,8.4,en,8.4,19262,1995-09-22
48,92321,Hotarubi no Mori e,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",/mDqzHV8UXWWNpZkoAbKmKX1ZxEE.jpg,0.6,2011-09-17,8.4,ja,8.4,979,2011-09-17
49,27205,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,103.545,2010-07-15,8.4,en,8.4,34320,2010-07-15
50,567,Rear Window,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,/qitnZcLP7C9DLRuPpmvZ7GiEjJN.jpg,31.168,1954-08-01,8.4,en,8.4,5834,1954-08-01
51,820067,The Quintessential Quintuplets Movie,"When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?",/sg7klpt1xwK1IJirBI9EHaqQwJ5.jpg,93.086,2022-05-20,8.4,ja,8.4,322,2022-05-20
52,73,American History X,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg,36.662,1998-07-01,8.4,en,8.4,10636,1998-07-01
53,18491,Neon Genesis Evangelion: The End of Evangelion,"The second of two theatrically released follow-ups to the Neon Genesis Evangelion series. Comprising of two alternate episodes which were first intended to take the place of episodes 25 and 26, this finale answers many of the questions surrounding the series, while also opening up some new possibilities.",/j6G24dqI4WgUtChhWjfnI4lnmiK.jpg,45.383,1997-07-19,8.4,ja,8.4,1356,1997-07-19
54,599,Sunset Boulevard,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,/sC4Dpmn87oz9AuxZ15Lmip0Ftgr.jpg,16.998,1950-08-10,8.3,en,8.3,2286,1950-08-10
55,12493,High and Low,A shoe company executive who has mortgaged everything he has becomes a victim of extortion when his chauffeur's son is kidnapped and is conflicted over whether he should pay the ransom.,/tgNjemQPG96uIezpiUiXFcer5ga.jpg,14.572,1963-03-01,8.3,ja,8.3,731,1963-03-01
